#              x        Density              u              v              p           Mach
  -0.50000000E+00   0.10000000E+01   0.00000000E+00   0.00000000E+00   0.17857140E+00   0.00000000E+00
  -0.46153846E+00   0.68140822E+00   0.00000000E+00   0.00000000E+00   0.20046484E+00   0.00000000E+00
  -0.42307693E+00   0.63368559E+00   0.00000000E+00   0.00000000E+00   0.18785700E+00   0.00000000E+00
  -0.38461539E+00   0.62383772E+00   0.00000000E+00   0.00000000E+00   0.18432987E+00   0.00000000E+00
  -0.34615386E+00   0.62041563E+00   0.00000000E+00   0.00000000E+00   0.18303305E+00   0.00000000E+00
  -0.30769229E+00   0.61935006E+00   0.00000000E+00   0.00000000E+00   0.18257576E+00   0.00000000E+00
  -0.26923075E+00   0.61793611E+00   0.00000000E+00   0.00000000E+00   0.18204251E+00   0.00000000E+00
  -0.23076922E+00   0.61832974E+00   0.00000000E+00   0.00000000E+00   0.18214702E+00   0.00000000E+00
  -0.19230768E+00   0.62119138E+00   0.00000000E+00   0.00000000E+00   0.18319323E+00   0.00000000E+00
  -0.15384614E+00   0.63271519E+00   0.00000000E+00   0.00000000E+00   0.18698079E+00   0.00000000E+00
  -0.11538460E+00   0.66685691E+00   0.00000000E+00   0.00000000E+00   0.19869541E+00   0.00000000E+00
  -0.76923057E-01   0.70881451E+00   0.00000000E+00   0.00000000E+00   0.21341245E+00   0.00000000E+00
  -0.38461521E-01   0.68242033E+00   0.00000000E+00   0.00000000E+00   0.20586518E+00   0.00000000E+00
   0.18626451E-07   0.73330363E+00   0.00000000E+00   0.00000000E+00   0.22231208E+00   0.00000000E+00
   0.26315790E-01   0.82252932E+00   0.00000000E+00   0.00000000E+00   0.25100497E+00   0.00000000E+00
   0.52631579E-01   0.86096532E+00   0.00000000E+00   0.00000000E+00   0.26449139E+00   0.00000000E+00
   0.78947365E-01   0.92196004E+00   0.00000000E+00   0.00000000E+00   0.28415088E+00   0.00000000E+00
   0.10526316E+00   0.94692744E+00   0.00000000E+00   0.00000000E+00   0.29214277E+00   0.00000000E+00
   0.13157895E+00   0.96561126E+00   0.00000000E+00   0.00000000E+00   0.29745367E+00   0.00000000E+00
   0.15789473E+00   0.97929313E+00   0.00000000E+00   0.00000000E+00   0.30162008E+00   0.00000000E+00
   0.18421052E+00   0.98331576E+00   0.00000000E+00   0.00000000E+00   0.30276365E+00   0.00000000E+00
   0.21052632E+00   0.98611604E+00   0.00000000E+00   0.00000000E+00   0.30330039E+00   0.00000000E+00
   0.23684211E+00   0.98978474E+00   0.00000000E+00   0.00000000E+00   0.30413574E+00   0.00000000E+00
   0.26315790E+00   0.99467339E+00   0.00000000E+00   0.00000000E+00   0.30529290E+00   0.00000000E+00
   0.28947368E+00   0.99680067E+00   0.00000000E+00   0.00000000E+00   0.30561693E+00   0.00000000E+00
   0.31578946E+00   0.99625472E+00   0.00000000E+00   0.00000000E+00   0.30530258E+00   0.00000000E+00
   0.34210527E+00   0.99443393E+00   0.00000000E+00   0.00000000E+00   0.30460076E+00   0.00000000E+00
   0.36842105E+00   0.99280394E+00   0.00000000E+00   0.00000000E+00   0.30393487E+00   0.00000000E+00
   0.39473686E+00   0.99063512E+00   0.00000000E+00   0.00000000E+00   0.30306334E+00   0.00000000E+00
   0.42105263E+00   0.98621846E+00   0.00000000E+00   0.00000000E+00   0.30141052E+00   0.00000000E+00
   0.44736841E+00   0.97502127E+00   0.00000000E+00   0.00000000E+00   0.29792127E+00   0.00000000E+00
   0.47368422E+00   0.96880854E+00   0.00000000E+00   0.00000000E+00   0.29510028E+00   0.00000000E+00
   0.50000000E+00   0.61469741E+00   0.00000000E+00   0.00000000E+00   0.18644076E+00   0.00000000E+00
   0.52631581E+00   0.38672787E+00   0.00000000E+00   0.00000000E+00   0.11277317E+00   0.00000000E+00
   0.55263156E+00   0.36722287E+00   0.00000000E+00   0.00000000E+00   0.10657238E+00   0.00000000E+00
   0.57894737E+00   0.35361627E+00   0.00000000E+00   0.00000000E+00   0.10249341E+00   0.00000000E+00
   0.60526317E+00   0.35085492E+00   0.00000000E+00   0.00000000E+00   0.10174121E+00   0.00000000E+00
   0.63157892E+00   0.35051808E+00   0.00000000E+00   0.00000000E+00   0.10173074E+00   0.00000000E+00
   0.65789473E+00   0.34875860E+00   0.00000000E+00   0.00000000E+00   0.10123380E+00   0.00000000E+00
   0.68421054E+00   0.34532881E+00   0.00000000E+00   0.00000000E+00   0.10018987E+00   0.00000000E+00
   0.71052629E+00   0.34178457E+00   0.00000000E+00   0.00000000E+00   0.99102849E-01   0.00000000E+00
   0.73684210E+00   0.34007759E+00   0.00000000E+00   0.00000000E+00   0.98609785E-01   0.00000000E+00
   0.76315790E+00   0.34030954E+00   0.00000000E+00   0.00000000E+00   0.98797488E-01   0.00000000E+00
   0.78947371E+00   0.34239602E+00   0.00000000E+00   0.00000000E+00   0.99612331E-01   0.00000000E+00
   0.81578946E+00   0.34681871E+00   0.00000000E+00   0.00000000E+00   0.10125677E+00   0.00000000E+00
   0.84210527E+00   0.35454258E+00   0.00000000E+00   0.00000000E+00   0.10417824E+00   0.00000000E+00
   0.86842108E+00   0.36624537E+00   0.00000000E+00   0.00000000E+00   0.10871311E+00   0.00000000E+00
   0.89473683E+00   0.37571910E+00   0.00000000E+00   0.00000000E+00   0.11349434E+00   0.00000000E+00
   0.92105263E+00   0.38943743E+00   0.00000000E+00   0.00000000E+00   0.11967915E+00   0.00000000E+00
   0.94736844E+00   0.39223242E+00   0.00000000E+00   0.00000000E+00   0.12063861E+00   0.00000000E+00
   0.97368419E+00   0.38388402E+00   0.00000000E+00   0.00000000E+00   0.11846377E+00   0.00000000E+00
   0.10000000E+01   0.40761812E+00   0.00000000E+00   0.00000000E+00   0.12709672E+00   0.00000000E+00
   0.10384616E+01   0.45497249E+00   0.00000000E+00   0.00000000E+00   0.14225502E+00   0.00000000E+00
   0.10769231E+01   0.48825803E+00   0.00000000E+00   0.00000000E+00   0.15320692E+00   0.00000000E+00
   0.11153846E+01   0.52760740E+00   0.00000000E+00   0.00000000E+00   0.16568048E+00   0.00000000E+00
   0.11538461E+01   0.54506773E+00   0.00000000E+00   0.00000000E+00   0.17247098E+00   0.00000000E+00
   0.11923077E+01   0.55695430E+00   0.00000000E+00   0.00000000E+00   0.17640595E+00   0.00000000E+00
   0.12307693E+01   0.55749280E+00   0.00000000E+00   0.00000000E+00   0.17627423E+00   0.00000000E+00
   0.12692307E+01   0.55974739E+00   0.00000000E+00   0.00000000E+00   0.17675445E+00   0.00000000E+00
   0.13076923E+01   0.56354870E+00   0.00000000E+00   0.00000000E+00   0.17759524E+00   0.00000000E+00
   0.13461539E+01   0.56601427E+00   0.00000000E+00   0.00000000E+00   0.17746422E+00   0.00000000E+00
   0.13846154E+01   0.56743132E+00   0.00000000E+00   0.00000000E+00   0.17659891E+00   0.00000000E+00
   0.14230770E+01   0.56753382E+00   0.00000000E+00   0.00000000E+00   0.17499039E+00   0.00000000E+00
   0.14615384E+01   0.56843702E+00   0.00000000E+00   0.00000000E+00   0.17271815E+00   0.00000000E+00
   0.15000000E+01   0.56843679E+00   0.00000000E+00   0.00000000E+00   0.17271807E+00   0.00000000E+00
