#              x        Density              u              v              p           Mach
  -0.50000000E+00   0.10000000E+01   0.00000000E+00   0.00000000E+00   0.17857140E+00   0.00000000E+00
  -0.46153846E+00   0.10286378E+01   0.00000000E+00   0.00000000E+00   0.18368529E+00   0.00000000E+00
  -0.42307693E+00   0.10086133E+01   0.00000000E+00   0.00000000E+00   0.18010948E+00   0.00000000E+00
  -0.38461539E+00   0.10079089E+01   0.00000000E+00   0.00000000E+00   0.17998370E+00   0.00000000E+00
  -0.34615386E+00   0.10079253E+01   0.00000000E+00   0.00000000E+00   0.17998664E+00   0.00000000E+00
  -0.30769229E+00   0.10079503E+01   0.00000000E+00   0.00000000E+00   0.17999110E+00   0.00000000E+00
  -0.26923075E+00   0.10079799E+01   0.00000000E+00   0.00000000E+00   0.17999638E+00   0.00000000E+00
  -0.23076922E+00   0.10080158E+01   0.00000000E+00   0.00000000E+00   0.18000279E+00   0.00000000E+00
  -0.19230768E+00   0.10080620E+01   0.00000000E+00   0.00000000E+00   0.18001104E+00   0.00000000E+00
  -0.15384614E+00   0.10081258E+01   0.00000000E+00   0.00000000E+00   0.18002243E+00   0.00000000E+00
  -0.11538460E+00   0.10082249E+01   0.00000000E+00   0.00000000E+00   0.18004013E+00   0.00000000E+00
  -0.76923057E-01   0.10084224E+01   0.00000000E+00   0.00000000E+00   0.18007540E+00   0.00000000E+00
  -0.38461521E-01   0.10090431E+01   0.00000000E+00   0.00000000E+00   0.18018624E+00   0.00000000E+00
   0.18626451E-07   0.12225613E+01   0.00000000E+00   0.00000000E+00   0.21831449E+00   0.00000000E+00
   0.26315790E-01   0.15999911E+01   0.00000000E+00   0.00000000E+00   0.28571265E+00   0.00000000E+00
   0.52631579E-01   0.16080197E+01   0.00000000E+00   0.00000000E+00   0.28714632E+00   0.00000000E+00
   0.78947365E-01   0.16083657E+01   0.00000000E+00   0.00000000E+00   0.28720812E+00   0.00000000E+00
   0.10526316E+00   0.16081376E+01   0.00000000E+00   0.00000000E+00   0.28716738E+00   0.00000000E+00
   0.13157895E+00   0.16078937E+01   0.00000000E+00   0.00000000E+00   0.28712382E+00   0.00000000E+00
   0.15789473E+00   0.16077186E+01   0.00000000E+00   0.00000000E+00   0.28709256E+00   0.00000000E+00
   0.18421052E+00   0.16075505E+01   0.00000000E+00   0.00000000E+00   0.28706255E+00   0.00000000E+00
   0.21052632E+00   0.16073881E+01   0.00000000E+00   0.00000000E+00   0.28703355E+00   0.00000000E+00
   0.23684211E+00   0.16072334E+01   0.00000000E+00   0.00000000E+00   0.28700592E+00   0.00000000E+00
   0.26315790E+00   0.16070877E+01   0.00000000E+00   0.00000000E+00   0.28697990E+00   0.00000000E+00
   0.28947368E+00   0.16069459E+01   0.00000000E+00   0.00000000E+00   0.28695459E+00   0.00000000E+00
   0.31578946E+00   0.16068025E+01   0.00000000E+00   0.00000000E+00   0.28692897E+00   0.00000000E+00
   0.34210527E+00   0.16066698E+01   0.00000000E+00   0.00000000E+00   0.28690527E+00   0.00000000E+00
   0.36842105E+00   0.16065429E+01   0.00000000E+00   0.00000000E+00   0.28688261E+00   0.00000000E+00
   0.39473686E+00   0.16064206E+01   0.00000000E+00   0.00000000E+00   0.28686077E+00   0.00000000E+00
   0.42105263E+00   0.16063529E+01   0.00000000E+00   0.00000000E+00   0.28684869E+00   0.00000000E+00
   0.44736841E+00   0.16064875E+01   0.00000000E+00   0.00000000E+00   0.28687271E+00   0.00000000E+00
   0.47368422E+00   0.16104335E+01   0.00000000E+00   0.00000000E+00   0.28757737E+00   0.00000000E+00
   0.50000000E+00   0.10135943E+01   0.00000000E+00   0.00000000E+00   0.18099894E+00   0.00000000E+00
   0.52631581E+00   0.60940503E+00   0.00000000E+00   0.00000000E+00   0.10882231E+00   0.00000000E+00
   0.55263156E+00   0.60413036E+00   0.00000000E+00   0.00000000E+00   0.10788040E+00   0.00000000E+00
   0.57894737E+00   0.60330258E+00   0.00000000E+00   0.00000000E+00   0.10773259E+00   0.00000000E+00
   0.60526317E+00   0.60318645E+00   0.00000000E+00   0.00000000E+00   0.10771185E+00   0.00000000E+00
   0.63157892E+00   0.60322311E+00   0.00000000E+00   0.00000000E+00   0.10771839E+00   0.00000000E+00
   0.65789473E+00   0.60327681E+00   0.00000000E+00   0.00000000E+00   0.10772798E+00   0.00000000E+00
   0.68421054E+00   0.60331679E+00   0.00000000E+00   0.00000000E+00   0.10773512E+00   0.00000000E+00
   0.71052629E+00   0.60336703E+00   0.00000000E+00   0.00000000E+00   0.10774409E+00   0.00000000E+00
